Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Fri Sep 24 11:38:04 2021,>1132,50100,1,00051,T,_NV,FMS1NSNS,00051,
Fri Sep 24 11:38:09 2021,>1137,50100,1,00051,T,_NV,FMS1NSNS,00051,
Fri Sep 24 11:38:14 2021,>1142,50100,1,00051,T,_NV,FMS1NSNS,00051,
