Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure
Thu Jun 10 14:35:08 2021,14,0,0,0,0,0,85,11.5
Thu Jun 10 14:35:11 2021,14,0,0,0,0,0,85,11.5
Thu Jun 10 14:35:14 2021,14,0,0,0,0,0,85,11.5
Thu Jun 10 14:35:17 2021,14,0,0,0,0,0,85,11.5
Thu Jun 10 14:35:20 2021,14,0,0,0,0,0,85,11.5
Thu Jun 10 14:35:23 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:26 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:29 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:32 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:35 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:38 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:41 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:44 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:50 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:53 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:56 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:35:59 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:36:02 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:36:05 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:36:08 2021,14,0,0,0,0,0,84,11.5
Thu Jun 10 14:36:11 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:14 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:17 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:20 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:23 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:26 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:29 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:32 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:35 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:38 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:41 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:44 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:47 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:50 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:53 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:56 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:36:59 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:37:02 2021,14,0,0,0,0,0,83,11.5
Thu Jun 10 14:37:05 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:08 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:11 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:14 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:20 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:23 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:26 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:29 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:32 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:35 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:38 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:41 2021,14,0,0,0,0,0,82,11.5
