Time,RespiratoryMinuteVolume,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Fri Sep 24 11:46:13 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Fri Sep 24 11:46:18 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Fri Sep 24 11:46:23 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
