Time,RespiratoryMinuteVolume,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure,
Fri Sep 24 11:49:04 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Fri Sep 24 11:49:09 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
Fri Sep 24 11:49:14 2021,0.00, 14 ,  0 ,  0 ,  0 ,  0 ,  0 , 19 ,11.5,
