Time,ExpiratoryTidalVolume,RespiratoryMinuteVolumeFrac,RespiratoryRate,PeakAirwayPressure,EndTidalCO2mmHg,
Fri Sep 24 11:49:08 2021,1.17,14.0, 30 , 40 , 60 ,
Fri Sep 24 11:49:18 2021,1.17,14.0, 30 , 40 , 60 ,
