Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Wed Sep 22 11:27:25 2021,>186,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Sep 22 11:27:30 2021,>191,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed Sep 22 11:27:35 2021,>196,50100,1,00051,T,_NV,FMS1NSNS,00051,
