Wed May 26 13:58:03 2021,>540,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:04 2021,>541,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:05 2021,>542,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:06 2021,>543,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:07 2021,>544,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:08 2021,>545,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:09 2021,>546,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:10 2021,>547,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:11 2021,>548,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:12 2021,>549,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:13 2021,>550,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:14 2021,>551,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:15 2021,>552,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:16 2021,>553,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:17 2021,>554,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:18 2021,>555,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:19 2021,>556,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:20 2021,>557,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:21 2021,>558,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:22 2021,>559,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:23 2021,>560,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:24 2021,>561,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:25 2021,>562,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:26 2021,>563,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:27 2021,>564,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:28 2021,>565,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:29 2021,>566,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:30 2021,>567,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:31 2021,>568,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:32 2021,>569,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:33 2021,>570,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:34 2021,>571,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:35 2021,>572,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:36 2021,>573,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:37 2021,>574,50100,1,00051,T,_NV,FMS1NSNS,00051,
