Time,RelativeTime,Address,Number of connected Space pillars,State of SpaceCom,Hardware protection,Last scanned barcode,Type of a segment,State of a segment,
Thu Jun 10 15:26:46 2021,>267,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:26:49 2021,>270,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:26:52 2021,>273,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:26:55 2021,>276,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:26:58 2021,>279,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:01 2021,>282,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:04 2021,>285,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:07 2021,>288,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:10 2021,>291,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:13 2021,>294,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:16 2021,>297,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:19 2021,>300,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:22 2021,>303,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:25 2021,>306,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:28 2021,>309,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:31 2021,>312,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:34 2021,>315,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:37 2021,>318,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:40 2021,>321,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:43 2021,>324,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:46 2021,>327,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:49 2021,>330,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:52 2021,>333,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:55 2021,>336,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:27:58 2021,>339,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:01 2021,>342,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:04 2021,>345,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:07 2021,>348,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:10 2021,>351,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:13 2021,>354,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:16 2021,>357,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:19 2021,>360,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:22 2021,>363,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:25 2021,>366,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:28 2021,>369,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:31 2021,>372,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:34 2021,>375,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:37 2021,>378,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:40 2021,>381,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:43 2021,>384,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:46 2021,>387,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:49 2021,>390,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:52 2021,>393,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:55 2021,>396,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:28:58 2021,>399,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:29:01 2021,>402,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:29:04 2021,>405,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:29:07 2021,>408,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:29:10 2021,>411,50100,1,00051,T,_NV,FMS1NSNS,00051,
Thu Jun 10 15:29:13 2021,>414,50100,1,00051,T,_NV,FMS1NSNS,00051,
